fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
2.76771	0.01794	1.90275	1.51086	1.31782	1.12609	1.19813	0.65218
2.67766	0.01765	1.95455	1.48274	1.45654	1.06951	1.00151	0.45111
1.93459	0.01253	1.55826	1.19344	1.05503	0.9062	1.09792	0.61899
2.68483	0.01925	1.94285	1.50986	1.32757	1.02963	1.02743	0.49933
2.20732	0.01664	1.82559	1.4248	1.34901	1.12933	1.31198	0.60645
1.59263	0.01151	1.31397	1.04497	0.98547	0.92743	0.88006	0.45825
1.81834	0.01327	1.49178	1.21255	1.15209	0.87054	0.8919	0.44176
2.20171	0.01839	1.7578	1.43512	1.42552	1.15491	1.18609	0.70799
2.70271	0.0169	1.76797	1.28627	1.13713	0.76596	0.67163	0.26951
2.20524	0.01526	1.66008	1.22956	0.99907	0.70472	0.69572	0.29252
4.33854	0.02823	2.30239	1.61769	1.48351	1.18823	1.28661	0.69633
3.50855	0.02136	1.99173	1.34955	1.2431	1.14909	1.15226	0.5112
8.25221	0.05015	3.30732	1.47894	1.15589	0.82715	0.894	0.43286
2.31714	0.0159	1.72052	1.26844	1.15021	0.87104	0.76609	0.31327
3.21212	0.02035	1.86723	1.34508	1.40864	1.15391	0.97513	0.41403
6.46538	0.03713	2.79769	1.65439	1.51043	1.29995	1.24482	0.62747
2.07632	0.01359	1.64089	1.34621	1.24354	0.91273	0.85046	0.41699
3.30992	0.0197	1.85747	1.11955	0.95742	0.65839	0.66353	0.34396
3.1173	0.01994	2.04726	1.46399	1.45434	1.16844	1.12929	0.5783
1.87877	0.01415	1.51871	1.36049	1.36076	1.19986	1.01872	0.4288
